Space Room,,,,,,,
Contractor Construction,,,,,,,
,Demolition,,,,,,
,,Bathroom,,,,,
,,,Sink,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Toilet,,,,
,,,,2 x Man Hours,$25.00 ,,
,,,,TOTAL,$25.00 ,,
,,,Walls,,,,
,,,,4 x Man Hours,$50.00 ,,
,,,,TOTAL,$50.00 ,,
,,,Plug Drains,,,,
,,,,3 in. Gripper Plastic Mechanical Test Plug,$5.57 ,,
,,,,1 x Man Hours,$12.50 ,,
,,,2 x Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$33.00 ,,,
,,,0 x Man Hours,$0.00 ,,,
,,,TOTAL,$277.90 ,,,
,,Code,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,Install,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,TOTAL,$604.51 ,,,,
,Switch Board,,,,,,
,,Prototype,,,,,
,,,8 x Man Hours,$100.00 ,,,
,,,TOTAL,$100.00 ,,,
,,Frame,,,,,
,,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,
,,,36 in. x 36 in. Plain Aluminum Sheet in Silver,$21.98 ,,,
,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
,,,4 x Man Hours,$50.00 ,,,
,,,TOTAL,$109.75 ,,,
,,Electrical,,,,,
,,,10 Pack Male to Male Stereo Audio Aux Cable,$30.75 ,,,
,,,3 x Headphone Audio Jack, Pack of 10,$26.97 ,,
,,,ARDUINO UNO R3,$20.45 ,,,
,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,USB Wall Charger,$9.99 ,,,
,,,8 x lychee EL Wire Neon Glowing Strobing Electroluminescent Light El Wire,$63.92 ,,,
,,,WeiMeet RFP30N06LE 30A 60V N-Channel Power Mosfet TO-220 ESD Rated for Arduino(10 Pieces),$9.99 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$222.06 ,,,
,,Code,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,Install,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,TOTAL,$481.81 ,,,,
,Lasers,,,,,,
,,0 x Man Hours,$0.00 ,,,,
,,TOTAL,$0.00 ,,,,
,Pole Cover,,,,,,
,,5 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$13.70 ,,,,
,,UltraLight 1/2 in. x 4 ft. x 8 ft. Gypsum Board,$12.33 ,,,,
,,1 x Man Hours,$12.50 ,,,,
,,TOTAL,$38.53 ,,,,
,Teleport Door,,,,,,
,,4 x 36 in. x 36 in. Plain Aluminum Sheet in Silver,$87.92 ,,,,
,,5 x Man Hours,$62.50 ,,,,
,,TOTAL,$150.42 ,,,,
,Constilation Viewer,,,,,,
,,Ladder,,,,,
,,,Extreme-Corrosion-Resistant Wall-Mount Ladder,$979.36 ,,,
,,,4 x 3/8 in. x 5 in. Powerlag Hex Drive Washer Head High Corrosion Resistant Coating Lag Screw,$6.80 ,,,
,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,"$1,001.40 ",,,
,,Lights,,,,,
,,,Belker Universal 3V 4.5V 5V 6V 7.5V 9V 12V AC DC Adapter,$11.90 ,,,
,,,1/4W 1% Resistor Assortment Kit,10 Ohm - 1M Ohm,$9.99 ,,
,,,22 in. L x 22 in. W x 21 1/2 in. D Extra-Large Moving Box,$2.38 ,,,
,,,EDGELEC 100pcs 5mm RGB Tri-Color,$8.99 ,,,
,,,Twinkle RGB Fibre Optic Light Ceiling Star Kit,$199.50 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,5 x Man Hours,$62.50 ,,,
,,,TOTAL,$311.76 ,,,
,,Bubble,,,,,
,,,PET-A-BOO Pet Window Fence Acrylic Clear Dome 16 in,$59.99 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$72.49 ,,,
,,Bubble Frame,,,,,
,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
,,,2 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$5.48 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$53.93 ,,,
,,TOTAL,"$1,439.58 ",,,,
,Whiteboard,,,,,,
,,EXPO 1752226 Neon Dry Erase Markers, Bullet Tip, Assorted Colors, 5-Count,$7.12 ,
,,2 x Quartet Glass Whiteboard, Magnetic Dry Erase White Board, 2' x 1.5', Infinity, Black Surface (G2418B),$101.38 
,,1 x Man Hours,$12.50 ,,,,
,,TOTAL,$121.00 ,,,,
,Captian's Chair,,,,,,
,,Secure,,,,,
,,,Magshion Black PU Racing Recliner Chair Set 360 Degree Swivel,$169.99 ,,,
,,,5 x Man Hours,$62.50 ,,,
,,,TOTAL,$232.49 ,,,
,,Augment,,,,,
,,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,
,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
,,,5 x Man Hours,$62.50 ,,,
,,,TOTAL,$100.27 ,,,
,,Paint,,,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$37.50 ,,,
,,TOTAL,$370.26 ,,,,
,Captian's Computer,,,,,,
,,Code Computer,,,,,
,,,20 x Man Hours,$250.00 ,,,
,,,TOTAL,$250.00 ,,,
,,Stand,,,,,
,,,Sceptre E205W-1600 20 in 75Hz Ultra Thin LED Monitor,$69.99 ,,,
,,,VIVO Black Sit-Stand Wall Mount,$99.99 ,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$194.98 ,,,
,,Projected Keyboard,,,,,
,,,AGS Wireless Laser Projection Bluetooth Virtual Keyboard for Iphone, Ipad, Smartphone and Tablets,$35.99 ,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$73.49 ,,,
,,Install,,,,,
,,,CanaKit Raspberry Pi 3 B+ (B Plus) with Premium Clear Case and 2.5A Power Supply,$54.99 ,,,
,,,4K HDMI Cable 25ft-HDMI 2.0,$28.99 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$96.48 ,,,
,,TOTAL,$614.95 ,,,,
,Hologram,,,,,,
,,Timer,,,,,
,,,10 x Man Hours,$125.00 ,,,
,,,TOTAL,$125.00 ,,,
,,Videos,,,,,
,,,20 x Man Hours,$250.00 ,,,
,,,TOTAL,$250.00 ,,,
,,Frame,,,,,
,,,VideoSecu ML531BE TV Wall Mount for Most 27-55 LED,$25.00 ,,,
,,,TCL 55S405 55-Inch 4K Ultra HD Roku Smart LED TV,$329.99 ,,,
,,,2 x 2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$3.64 ,,,
,,,36 in. x 72 in. x .220 in. Acrylic Sheet,$136.00 ,,,
,,,2 x 2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$5.48 ,,,
,,,6 x Man Hours,$75.00 ,,,
,,,TOTAL,$575.11 ,,,
,,Paint,,,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$25.00 ,,,
,,Controller,,,,,
,,,4K HDMI Cable 25ft-HDMI 2.0,$28.99 ,,,
,,,15 x Man Hours,$187.50 ,,,
,,,TOTAL,$216.49 ,,,
,,TOTAL,"$1,191.60 ",,,,
,Fans,,,,,,
,,Paint Code,,,,,
,,,SHARPIE MED WHT OB PAINT MARKER,$6.20 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$18.70 ,,,
,,Paint Install Strobe,,,,,
,,,Hideaway Strobe Lights White High Power 24W 8 Chipsets Surface Mount,$42.99 ,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$67.99 ,,,
,,Strobe Controller,,,,,
,,,25 ft. 16/3 Light-Duty Indoor/Outdoor Extension Cord,$9.97 ,,,
,,,ARDUINO UNO R3,$20.45 ,,,
,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,USB Wall Charger,$9.99 ,,,
,,,PowerSwitch Tail II,$26.99 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$127.39 ,,,
,,Install,,,,,
,,,2 x 3 in. Black Corner Brace (4-Pack),$8.36 ,,,
,,,2 x Man Hours,$25.00 ,,,
,,,TOTAL,$33.36 ,,,
,,Outlet Electrical,,,,,
,,,Metallic AC Disconnect,$8.98 ,,,
,,,ARDUINO UNO R3,$20.45 ,,,
,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,USB Wall Charger,$9.99 ,,,
,,,VLUXPARTS 7-Way Trailer Plug Socket Extension Cable ,$19.99 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$119.40 ,,,
,,Outlet Connection,,,,,
,,,Conntek Heavy-Duty 7-Way Plug to ROJ (25 foot),$42.42 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$79.92 ,,,
,,Outlet Lock,,,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$12.50 ,,,
,,2 x Holmes HBF2001DP-BM 20-Inch Box Fan,Black,$39.98 ,,,
,,TOTAL,$499.24 ,,,,
,Crackle Tube,,,,,,
,,Power Suply,,,,,
,,,Power Supply,$475.00 ,,,
,,,1 x Man Hours,$12.50 ,,,
,,,TOTAL,$487.50 ,,,
,,Electrical,,,,,
,,,ARDUINO UNO R3,$20.45 ,,,
,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,USB Wall Charger,$9.99 ,,,
,,,PowerSwitch Tail II,$26.99 ,,,
,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,3 x Man Hours,$37.50 ,,,
,,,TOTAL,$117.42 ,,,
,,Frame,,,,,
,,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,
,,,Crackle Tube,"$3,420.00 ",,,
,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
