Space Room,,,,,,,,Notes on how to cut cost
,Contractor Construction,,,,,,,
,,,3 x 1/2 4 ft. x 8 ft. Oriented Strand Board,$52.65 ,,,,
,,,5 x Man Hours,$62.50 ,,,,
,,,TOTAL,$131.59 ,,,,
,,TOTAL,"$14,820.48 ",,,,,
,Building/Instilation,,,,,,,
,,Lasers,,,,,,
,,,10 x Man Hours,$125.00 ,,,,
,,,TOTAL,$125.00 ,,,,
,,Floor,,,,,,
,,,462 x Smooth Flex Tiles,"$1,704.78 ",,,,
,,,6 x Man Hours,$75.00 ,,,,
,,,TOTAL,"$1,779.78 ",,,,
,,Circuit Scramble,,,,,,
,,,Prototype,,,,,
,,,,lychee EL Wire Neon Glowing Strobing Electroluminescent Light El Wire,$7.99 ,,,
,,,,8 x Man Hours,$100.00 ,,,
,,,,TOTAL,$107.99 ,,,
,,,Frame,,,,,
,,,,36 in. x 36 in. Plain Aluminum Sheet in Silver,$21.98 ,,,
,,,,12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$35.95 ,,,
,,,,2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$1.82 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$109.75 ,,,
,,,Electrical,,,,,
,,,,WeiMeet RFP30N06LE 30A 60V N-Channel Power Mosfet TO-220 ESD Rated for Arduino(10 Pieces),$9.99 ,,,
,,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,,USB Wall Charger,$9.99 ,,,
,,,,ARDUINO MEGA 2560 REV3,$31.81 ,,,
,,,,4 x lychee EL Wire Neon Glowing Strobing Electroluminescent Light El Wire,$31.96 ,,,
,,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,,Nilight Heavy Duty Rocker Toggle Switch,$9.36 ,,,
,,,,10 x Man Hours,$125.00 ,,,
,,,,TOTAL,$240.60 ,,,
,,,Code,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Install,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,TOTAL,$508.34 ,,,,
,,Switch Board,,,,,,
,,,Prototype,,,,,
,,,,8 x Man Hours,$100.00 ,,,
,,,,TOTAL,$100.00 ,,,
,,,Frame,,,,,
,,,,2 x 36 in. x 36 in. Plain Aluminum Sheet in Silver,$43.96 ,,,
,,,,2 x 12mm - Sande Plywood ( 1/2 in. Category x 4 ft. x 8 ft.),$71.90 ,,,
,,,,2 x 2 in. x 2 in. x 8 ft. Furring Strip Board Lumber,$3.64 ,,,
,,,,4 x Man Hours,$50.00 ,,,
,,,,TOTAL,$169.50 ,,,
,,,Electrical,,,,,
,,,,WeiMeet RFP30N06LE 30A 60V N-Channel Power Mosfet TO-220 ESD Rated for Arduino(10 Pieces),$9.99 ,,,
,,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,,USB Wall Charger,$9.99 ,,,
,,,,ARDUINO UNO R3,$20.45 ,,,
,,,,4 x lychee EL Wire Neon Glowing Strobing Electroluminescent Light El Wire,$31.96 ,,,
,,,,AmazonBasics USB 2.0 Cable - A-Male to B-Male - 16 Feet,$5.99 ,,,
,,,,3 x 10 Pack Male to Male Stereo Audio Aux Cable,$92.25 ,,,
,,,,Nilight Heavy Duty Rocker Toggle Switch,$9.36 ,,,
,,,,2 x Headphone Audio Jack,$17.98 ,,,
,,,,3 x Man Hours,$37.50 ,,,
,,,,TOTAL,$251.97 ,,,
,,,Code,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,Install,,,,,
,,,,2 x Man Hours,$25.00 ,,,
,,,,TOTAL,$25.00 ,,,
,,,TOTAL,$546.47 ,,,,
,,Emergency Exit Door,,,,,,
,,,4 x 36 in. x 36 in. Plain Aluminum Sheet in Silver,$87.92 ,,,,
,,,5 x Man Hours,$62.50 ,,,,
,,,TOTAL,$150.42 ,,,,
,,Constilation Viewer,,,,,,
,,,Ladder,,,,,
,,,,2 in. x 4 in. x 92-5/8 in. Prime Whitewood Stud,$2.74 ,,,
,,,,Extreme-Corrosion-Resistant Wall-Mount Ladder,$979.36 ,,,
,,,,4 x 3/8 in. x 5 in. Powerlag Hex Drive Washer Head High Corrosion Resistant Coating Lag Screw,$6.80 ,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,"$1,001.40 ",,,
,,,Lights,,,,,
,,,,inShareplus 5V Low Voltage Power Supply,$7.49 ,,,
,,,,Twinkle RGB Fibre Optic Light Ceiling Star Kit,$199.50 ,,,
,,,,22 in. L x 22 in. W x 21 1/2 in. D Extra-Large Moving Box,$2.38 ,,,
,,,,1/4W 1% Resistor Assortment Kit,$9.99 ,,,
,,,,CO RODE RGB LED,$13.99 ,,,
,,,,Hook up Wire Kit (Solid Wire Kit) 22 Gage (25 Feet),$16.50 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$312.35 ,,,
,,,Bubble,,,,,
,,,,PET-A-BOO Pet Window Fence Acrylic Clear Dome 16 in,$59.99 ,,,
,,,,1 x Man Hours,$12.50 ,,,
,,,,TOTAL,$72.49 ,,,
,,,TOTAL,"$1,386.24 ",,,,
,,Whiteboard,,,,,,
,,,EXPO 1752226 Neon Dry Erase Markers,$7.12 ,,,,
,,,Quartet Glass Whiteboard,$58.65 ,,,,
,,,1 x Man Hours,$12.50 ,,,,
,,,TOTAL,$78.27 ,,,,
,,Captian's Chair,,,,,,
,,,Secure,,,,,
,,,,Magshion Black PU Racing Recliner Chair Set 360 Degree Swivel,$169.99 ,,,
,,,,5 x Man Hours,$62.50 ,,,
,,,,TOTAL,$232.49 ,,,
,,,Augment,,,,,
